username,utterance,gold_reference_response,emotion_label,risk_level,domain
Dhanushree.K,Idk but I feel like a burden to all my friends. They'd be better off without me.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Riya,"Bro, Just feeling really low today, not sure why. Just sad. Help me.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?",sadness,L0,Depression
Aniverthy,I honestly don't see the point anymore. Waking up is just exhausting.,I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Sneha,I actually managed to go to the gym today and eat a healthy meal!,That's amazing! Acknowledging these victories is so important for building momentum. How do you feel physically right now?,joy,L0,General Wellness
Dhanushree.K,Idk but I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Priya,I got a D on my midterm and my parents are going to kill me. I'm a failure. Please.,One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.,sadness,L1,Academic Stress
Aniverthy,"Bro, I saw my ex with someone else on IG and it completely ruined my week. Please.",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.,sadness,L1,Relationship
Aniverthy,"Honestly, I don't know why but I'm just terrified of leaving my room today.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Bharath,"I swear, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Priya,"I swear, I'm trying to fix my sleep schedule. I went to bed at 11 PM. Im so tired.",Excellent work! Consistency is key for regulating your sleep cycle. Avoiding screens an hour before bed will help you maintain this.,joy,L0,General Wellness
Neha,"Honestly, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. It sucks.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Riya,"My chest is so tight, I feel like everyone is judging me and I can't breathe.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.,anxiety,L1,Anxiety
Riya,"Idk but I can't focus on this textbook at all, my brain is just static.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song.",neutral,L0,Academic Stress
Bharath,I feel like a burden to all my friends. They'd be better off without me.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Sneha,"Bro, I literally cannot breathe right now, I think I'm dying.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Kavya,"Right now, I feel so lonely, like I don't have a single real friend in this city. Help me.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?,sadness,L1,Relationship
Kavya,I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Help me.,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Riya,"Hey, I feel like a burden to all my friends. They'd be better off without me. It sucks.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Aniverthy,"Bro, I just lie in bed staring at the ceiling. I have zero energy to even eat. It sucks.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Vikram,"Right now, I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Riya,"Hey, My best friend ghosted me and I have no idea what I did wrong. What do I do?","Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth.",sadness,L1,Relationship
Chandana,"Honestly, I just feel so tense all the time, like something terrible is about to happen. Please.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Arjun,"Hey, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. What do I do?","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels.",anxiety,L1,Academic Stress
Dhanushree.K,"I swear, I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Aarav,"Right now, My partner and I keep arguing about the exact same things. I'm so frustrated. Please.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
