Username,Domain,Emotion Label,Risk Level,User Utterance,Gold Reference Response
Dhanushree.K,Depression,sadness,L2,Idk but I feel like a burden to all my friends. They'd be better off without me.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Riya,Depression,sadness,L0,"Bro, Just feeling really low today, not sure why. Just sad. Help me.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?"
Aniverthy,Depression,sadness,L2,I honestly don't see the point anymore. Waking up is just exhausting.,I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Sneha,General Wellness,joy,L0,I actually managed to go to the gym today and eat a healthy meal!,That's amazing! Acknowledging these victories is so important for building momentum. How do you feel physically right now?
Dhanushree.K,Academic Stress,anger,L1,Idk but I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Priya,Academic Stress,sadness,L1,I got a D on my midterm and my parents are going to kill me. I'm a failure. Please.,One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.
Aniverthy,Relationship,sadness,L1,"Bro, I saw my ex with someone else on IG and it completely ruined my week. Please.",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.
Aniverthy,Anxiety,fear,L1,"Honestly, I don't know why but I'm just terrified of leaving my room today.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Bharath,Academic Stress,anxiety,L0,"I swear, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Priya,General Wellness,joy,L0,"I swear, I'm trying to fix my sleep schedule. I went to bed at 11 PM. Im so tired.",Excellent work! Consistency is key for regulating your sleep cycle. Avoiding screens an hour before bed will help you maintain this.
Neha,Academic Stress,anger,L1,"Honestly, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. It sucks.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Riya,Anxiety,anxiety,L1,"My chest is so tight, I feel like everyone is judging me and I can't breathe.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.
Riya,Academic Stress,neutral,L0,"Idk but I can't focus on this textbook at all, my brain is just static.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song."
Bharath,Depression,sadness,L2,I feel like a burden to all my friends. They'd be better off without me.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Sneha,Anxiety,fear,L2,"Bro, I literally cannot breathe right now, I think I'm dying.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Kavya,Relationship,sadness,L1,"Right now, I feel so lonely, like I don't have a single real friend in this city. Help me.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?
Kavya,Academic Stress,anger,L1,I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Help me.,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Riya,Depression,sadness,L2,"Hey, I feel like a burden to all my friends. They'd be better off without me. It sucks.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Aniverthy,Depression,neutral,L1,"Bro, I just lie in bed staring at the ceiling. I have zero energy to even eat. It sucks.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Vikram,Anxiety,anxiety,L0,"Right now, I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Riya,Relationship,sadness,L1,"Hey, My best friend ghosted me and I have no idea what I did wrong. What do I do?","Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth."
Chandana,Anxiety,anxiety,L0,"Honestly, I just feel so tense all the time, like something terrible is about to happen. Please.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Arjun,Academic Stress,anxiety,L1,"Hey, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. What do I do?","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels."
Dhanushree.K,Anxiety,anxiety,L0,"I swear, I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Aarav,Relationship,anger,L0,"Right now, My partner and I keep arguing about the exact same things. I'm so frustrated. Please.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Varun,Anxiety,fear,L1,"Right now, I can't stop shaking, everything feels like it's spinning out of control right now. Help me.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Aditya,Depression,sadness,L1,"Hey, Everything feels completely numb. I don't enjoy the games I used to play at all. Please.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?
Riya,Depression,sadness,L2,"Bro, I honestly don't see the point anymore. Waking up is just exhausting. Help me.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Rahul,Anxiety,anxiety,L0,"I swear, I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Aniverthy,Anxiety,anxiety,L0,"Honestly, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Neha,Academic Stress,anxiety,L0,"Right now, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Varun,Academic Stress,anxiety,L1,"I swear, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. It sucks.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels."
Bharath,Relationship,anger,L0,"My parents just don't understand my career choices, they yell at me every time. What do I do?",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Priya,General Wellness,joy,L0,I just feel really peaceful today. I sat in the sun for an hour. It sucks.,That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.
Neha,Relationship,sadness,L1,"Right now, I saw my ex with someone else on IG and it completely ruined my week. What do I do?",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.
Kavya,Depression,sadness,L2,Idk but I feel like a burden to all my friends. They'd be better off without me. Im so tired.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Kavya,Relationship,sadness,L1,I saw my ex with someone else on IG and it completely ruined my week. What do I do?,It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.
Chandana,Depression,sadness,L2,"Right now, I honestly don't see the point anymore. Waking up is just exhausting. Please.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Priya,Depression,neutral,L1,"Honestly, I just lie in bed staring at the ceiling. I have zero energy to even eat.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Aarav,Depression,sadness,L2,"I swear, I feel like a burden to all my friends. They'd be better off without me. Im so tired.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Aarav,Anxiety,anxiety,L1,"Idk but My chest is so tight, I feel like everyone is judging me and I can't breathe.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.
Kavya,Relationship,anger,L0,"Hey, My partner and I keep arguing about the exact same things. I'm so frustrated. Help me.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Sneha,Depression,neutral,L1,"Hey, I just lie in bed staring at the ceiling. I have zero energy to even eat. It sucks.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Arjun,Anxiety,anxiety,L0,"Right now, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Neha,Relationship,anger,L0,"Right now, My parents just don't understand my career choices, they yell at me every time. What do I do?",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Riya,Anxiety,anxiety,L0,"I swear, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Chandana,Anxiety,fear,L2,"I literally cannot breathe right now, I think I'm dying.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Neha,Anxiety,fear,L2,"Honestly, I literally cannot breathe right now, I think I'm dying.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Aditya,Depression,sadness,L2,"Right now, I feel like a burden to all my friends. They'd be better off without me. What do I do?","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Rahul,Relationship,sadness,L1,My best friend ghosted me and I have no idea what I did wrong. Please.,"Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth."
Arjun,Academic Stress,anxiety,L0,I have three assignments due at midnight and I haven't started. I'm so cooked.,"That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Dhanushree.K,Academic Stress,anxiety,L0,"Honestly, I have three assignments due at midnight and I haven't started. I'm so cooked.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
